timestamp,Left_Engine_Temp,Right_Engine_Temp,Left_Inverter_Temperature,Right_Inverter_Temperature,Right_Gearbox_Temp,Right_Radiator_Temp,Left_Gearbox_Temp,Left_Radiator_Temp,Car_Speed,GSPSpeed,Suspension_Back_Left,Suspension_Back_Right,Suspension_Front_Left,Suspension_Front_Right,Brake_Pedal,Accelerator_Pedal,lat,lon,Raw_Direction,GPSCoords,Flag
2024-06-09T16:29:34.527643,29,27,24,24,25,24,24,24,0,0.02,65295,63247,4095,4094,2435,1444,0,0,1110,46.207537 7.5751,0
2024-06-09T16:29:34.969032,29,28,24,24,25,24,24,24,0,0.02,65295,62479,4095,4094,2434,1446,0,0,1113,46.207537 7.5751,0
2024-06-09T16:29:35.470781,29,28,24,24,25,24,24,24,0,0.04,65295,63503,4095,4095,2435,1448,0,0,1113,46.207537 7.5750,0
2024-06-09T16:29:35.974484,29,28,24,24,25,24,24,24,0,0.04,65295,62735,4094,4095,2436,1444,0,0,1113,46.207537 7.5750,0
2024-06-09T16:29:36.490005,29,27,24,24,25,24,24,24,0,0.012,65295,63247,4095,4095,2436,1446,0,0,1112,46.207536 7.5750,0
2024-06-09T16:29:37.107194,29,28,24,24,25,24,25,24,0,0.012,65295,62735,4095,4095,2433,1447,0,0,1111,46.207536 7.5750,0
2024-06-09T16:29:37.470231,29,28,24,24,25,24,25,24,0,0.008,65295,62991,4095,4095,2434,1446,0,0,1112,46.207535 7.5749,0
2024-06-09T16:29:38.028516,29,28,24,24,25,24,24,24,0,0.008,65295,62991,4095,4095,2435,1446,0,0,1110,46.207535 7.5749,0
2024-06-09T16:29:38.469480,29,28,24,24,25,24,24,24,0,0.008,65295,62735,4094,4095,2435,1447,0,0,1112,46.207535 7.5749,0
2024-06-09T16:29:39.047837,29,27,24,24,25,24,24,24,0,0.029,65295,62479,4092,4095,2434,1446,0,0,1110,46.207534 7.5749,0
2024-06-09T16:29:39.493177,29,28,24,24,25,24,24,24,0,0.05,65295,62479,4095,4095,2435,1444,0,0,1110,46.207533 7.5749,0
2024-06-09T16:29:40.066643,29,27,24,24,25,24,24,24,0,0.05,65295,63247,4095,4095,2435,1446,0,0,1111,46.207533 7.5749,0
2024-06-09T16:29:40.462669,29,27,24,24,25,24,24,24,0,0.012,65295,63503,4095,4095,2437,1444,0,0,1110,46.207533 7.5748,0
2024-06-09T16:29:41.083378,29,27,24,24,25,24,24,24,0,0.012,65295,62735,4094,4095,2433,1447,0,0,1113,46.207533 7.5748,0
2024-06-09T16:29:41.630360,29,27,24,24,25,24,24,24,0,0.014,65295,62735,4094,4095,2437,1447,0,0,1113,46.207532 7.5748,0
2024-06-09T16:29:42.016037,29,27,24,24,25,24,24,24,0,0.014,65295,62735,4095,4095,2436,1447,0,0,1112,46.207532 7.5748,0
2024-06-09T16:29:42.515867,29,27,24,24,25,24,24,24,0,0.011,65295,62991,4095,4095,2435,1444,0,0,1111,46.207532 7.5747,0
2024-06-09T16:29:43.025307,29,27,24,24,25,24,24,24,0,0.011,65295,63247,4095,4095,2436,1443,0,0,1113,46.207532 7.5747,0
2024-06-09T16:29:43.528470,29,27,24,24,25,24,24,24,0,0.011,65295,63247,4094,4095,2436,1445,0,0,1110,46.207532 7.5747,0
2024-06-09T16:29:44.048924,29,27,24,24,25,24,24,24,0,0.021,65295,63247,4095,4095,2437,1445,0,0,1113,46.207532 7.5746,0
2024-06-09T16:29:44.538829,29,27,24,24,25,24,24,24,0,0.028,65295,61967,4094,4095,2434,1445,0,0,1110,46.207532 7.5746,0
2024-06-09T16:29:45.078887,29,27,24,24,25,24,24,24,0,0.028,65295,63247,4095,4094,2438,1444,0,0,1111,46.207532 7.5746,0
