timestamp,Left_Engine_Temp,Right_Engine_Temp,Left_Inverter_Temperature,Right_Inverter_Temperature,Right_Gearbox_Temp,Right_Radiator_Temp,Left_Gearbox_Temp,Left_Radiator_Temp,Car_Speed,GSPSpeed,Suspension_Back_Left,Suspension_Back_Right,Suspension_Front_Left,Suspension_Front_Right,Brake_Pedal,Accelerator_Pedal,lat,lon,Raw_Direction,GPSCoords,Flag
2024-06-09T16:23:36.528378,29,27,23,23,25,24,24,24,0,0.06,65295,63503,4092,4095,2437,1444,0,0,1110,46.207526 7.5718,0
2024-06-09T16:23:36.991285,29,27,23,23,25,24,24,24,0,0.06,65295,63759,4095,4095,2437,1444,0,0,1112,46.207526 7.5718,0
2024-06-09T16:23:37.492381,29,27,23,23,25,24,24,24,0,0.04,65295,63503,4095,4095,2436,1443,0,0,1113,46.207526 7.5718,0
2024-06-09T16:23:37.977198,29,27,23,23,25,24,24,24,0,0.04,65295,62991,4095,4094,2436,1444,0,0,1113,46.207526 7.5718,0
2024-06-09T16:23:38.728965,29,27,23,23,25,24,24,24,0,0.04,65295,62479,4094,4095,2435,1447,0,0,1110,46.207526 7.5718,0
2024-06-09T16:23:39.006655,29,27,23,23,25,24,24,24,0,0.027,65295,64271,4094,4095,2439,1445,0,0,1110,46.207526 7.5717,0
2024-06-09T16:23:39.487757,29,27,23,23,25,24,24,24,0,0.03,65295,62991,4095,4095,2433,1447,0,0,1112,46.207526 7.5717,0
2024-06-09T16:23:40.109794,29,27,23,23,25,24,24,24,0,0.03,65295,63503,4095,4095,2436,1443,0,0,1113,46.207526 7.5717,0
2024-06-09T16:23:40.556273,29,27,23,23,25,24,24,24,0,0.03,65295,63503,4095,4095,2438,1447,0,0,1110,46.207526 7.5717,0
2024-06-09T16:23:41.048823,29,27,23,23,25,24,24,24,0,0.03,65295,64783,4095,4095,2435,1444,0,0,1113,46.207526 7.5717,0
2024-06-09T16:23:41.553490,29,27,23,23,25,24,24,24,0,0.064,65295,63759,4093,4094,2434,1445,0,0,1112,46.207526 7.5717,0
2024-06-09T16:23:42.083280,29,27,23,23,25,24,24,24,0,0.064,65295,63503,4095,4094,2437,1446,0,0,1113,46.207526 7.5717,0
2024-06-09T16:23:42.594199,29,27,23,23,25,24,24,24,0,0.055,65295,60687,4094,4095,2438,1446,0,0,1111,46.207526 7.5716,0
2024-06-09T16:23:42.992182,29,27,23,23,25,24,24,24,0,0.055,65295,62223,4095,4095,2435,1445,0,0,1111,46.207526 7.5716,0
2024-06-09T16:23:43.517045,29,27,23,23,25,24,24,24,0,0.055,65295,63759,4095,4094,2435,1446,0,0,1113,46.207526 7.5716,0
2024-06-09T16:23:44.065665,29,27,23,23,25,24,24,24,0,0.019,65295,63503,4095,4094,2435,1444,0,0,1111,46.207526 7.5716,0
2024-06-09T16:23:44.503311,29,27,23,23,25,24,24,24,0,0.052,65295,63759,4094,4095,2438,1444,0,0,1111,46.207526 7.5716,0
2024-06-09T16:23:45.063363,29,27,23,23,25,24,24,24,0,0.052,65295,63503,4095,4095,2434,1444,0,0,1113,46.207526 7.5716,0
2024-06-09T16:23:45.556139,29,27,23,23,25,24,24,24,0,0.018,65295,62223,4095,4095,2433,1444,0,0,1113,46.207526 7.5715,0
2024-06-09T16:23:46.035827,29,27,23,23,25,24,24,24,0,0.018,65295,62991,4093,4095,2435,1447,0,0,1112,46.207526 7.5715,0
2024-06-09T16:23:46.552876,29,27,23,23,25,24,24,24,0,0.037,65295,62735,4095,4094,2434,1444,0,0,1113,46.207526 7.5715,0
2024-06-09T16:23:46.986714,29,27,23,23,25,24,24,24,0,0.037,65039,63503,4094,4095,2438,1446,0,0,1113,46.207526 7.5715,0
2024-06-09T16:23:47.579370,29,27,23,23,25,24,24,24,0,0.119,65295,62991,4094,4095,2435,1444,0,0,1112,46.207526 7.5716,0
2024-06-09T16:23:48.021362,29,27,23,23,25,24,24,24,0,0.119,65295,62991,4095,4095,2437,1446,0,0,1113,46.207526 7.5716,0
2024-06-09T16:23:48.598019,29,27,23,23,25,24,24,24,0,0.119,65295,62479,4095,4095,2436,1446,0,0,1111,46.207526 7.5716,0
