timestamp,Left_Engine_Temp,Right_Engine_Temp,Left_Inverter_Temperature,Right_Inverter_Temperature,Right_Gearbox_Temp,Right_Radiator_Temp,Left_Gearbox_Temp,Left_Radiator_Temp,Car_Speed,GSPSpeed,Suspension_Back_Left,Suspension_Back_Right,Suspension_Front_Left,Suspension_Front_Right,Brake_Pedal,Accelerator_Pedal,lat,lon,Raw_Direction,GPSCoords,Flag
2024-06-09T16:31:59.028616,29,28,24,24,25,24,24,24,0,0.028,65295,63247,4095,4095,2434,1447,0,0,1110,46.207533 7.5753,0
2024-06-09T16:31:59.525841,29,28,24,24,25,24,24,24,0,0.013,65295,63247,4095,4095,2436,1446,0,0,1110,46.207533 7.5752,0
2024-06-09T16:32:00.050276,29,28,24,24,25,24,24,24,0,0.013,65295,62735,4094,4095,2438,1447,0,0,1110,46.207533 7.5752,0
2024-06-09T16:32:00.458808,29,27,24,24,25,24,24,24,0,0.016,65295,62991,4095,4095,2436,1443,0,0,1113,46.207533 7.5752,0
2024-06-09T16:32:01.023558,29,28,24,24,25,24,24,24,0,0.016,65295,62223,4095,4095,2434,1445,0,0,1111,46.207533 7.5752,0
2024-06-09T16:32:01.457917,29,28,24,24,25,24,24,24,0,0.008,65295,65039,4095,4095,2437,1445,0,0,1113,46.207534 7.5751,0
2024-06-09T16:32:02.026676,29,27,24,24,25,24,24,24,0,0.008,65295,63503,4095,4095,2432,1444,0,0,1110,46.207534 7.5751,0
2024-06-09T16:32:02.483882,29,28,24,24,25,24,24,24,0,0.024,65295,63503,4095,4095,2435,1447,0,0,1110,46.207534 7.5751,0
2024-06-09T16:32:03.002367,29,28,24,24,25,24,24,24,0,0.024,65295,62735,4095,4095,2437,1446,0,0,1111,46.207534 7.5751,0
2024-06-09T16:32:03.520892,29,28,24,24,25,24,24,24,0,0.024,65295,63503,4091,4095,2432,1445,0,0,1112,46.207534 7.5751,0
2024-06-09T16:32:03.961681,29,27,24,24,25,24,24,24,0,0.015,65295,62735,4095,4095,2435,1445,0,0,1113,46.207535 7.5751,0
2024-06-09T16:32:04.458813,29,27,24,24,25,24,24,24,0,0.034,65295,62735,4095,4095,2434,1444,0,0,1113,46.207536 7.5751,0
2024-06-09T16:32:05.048829,29,27,24,24,25,24,24,24,0,0.034,65295,65295,4095,4095,2432,1444,0,0,1112,46.207536 7.5751,0
2024-06-09T16:32:05.555430,29,28,24,24,25,24,24,24,0,0.046,65295,60687,4095,4094,2438,1444,0,0,1112,46.207536 7.5751,0
2024-06-09T16:32:06.082792,29,27,24,24,25,24,24,24,0,0.046,65295,62735,4095,4094,2438,1447,0,0,1110,46.207536 7.5751,0
2024-06-09T16:32:06.476883,29,28,24,24,25,24,24,24,0,0.052,65295,62991,4095,4095,2435,1444,0,0,1112,46.207537 7.5751,0
2024-06-09T16:32:07.012570,29,28,24,24,25,24,24,24,0,0.052,65295,62479,4095,4095,2434,1444,0,0,1113,46.207537 7.5751,0
2024-06-09T16:32:07.524745,29,27,24,24,25,24,24,24,0,0.035,65295,63759,4094,4095,2433,1446,0,0,1110,46.207538 7.5751,0
2024-06-09T16:32:08.020952,29,28,24,24,25,24,24,24,0,0.035,65295,63759,4095,4095,2433,1446,0,0,1112,46.207538 7.5751,0
2024-06-09T16:32:08.552824,29,27,24,24,25,24,24,24,0,0.035,65295,63247,4095,4095,2437,1446,0,0,1111,46.207538 7.5751,0
2024-06-09T16:32:08.958712,29,28,24,24,25,24,24,24,0,0.028,65295,63247,4095,4095,2436,1446,0,0,1113,46.207539 7.5752,0
2024-06-09T16:32:09.533059,29,27,24,24,25,24,24,24,0,0.052,65295,63503,4094,4095,2433,1445,0,0,1110,46.207540 7.5752,0
2024-06-09T16:32:10.065831,29,27,24,24,25,24,24,24,0,0.052,65295,63503,4095,4094,2438,1444,0,0,1110,46.207540 7.5752,0
2024-06-09T16:32:10.584378,29,28,24,24,25,24,24,24,0,0.065,65295,63247,4095,4094,2438,1447,0,0,1112,46.207541 7.5753,0
2024-06-09T16:32:10.960785,29,27,24,24,25,24,24,24,0,0.065,65295,64783,4095,4095,2437,1446,0,0,1113,46.207541 7.5753,0
2024-06-09T16:32:11.460560,29,28,24,24,25,24,24,24,0,0.016,64783,63247,4095,4095,2434,1444,0,0,1113,46.207542 7.5754,0
2024-06-09T16:32:12.012892,29,28,24,24,25,24,24,24,0,0.016,65295,62223,4095,4095,2437,1447,0,0,1113,46.207542 7.5754,0
2024-06-09T16:32:12.466039,29,28,24,24,25,24,24,24,0,0.016,65295,62479,4095,4095,2437,1446,0,0,1113,46.207544 7.5754,0
2024-06-09T16:32:13.059343,29,28,24,24,25,24,24,24,0,0.016,65295,62735,4093,4095,2435,1444,0,0,1113,46.207544 7.5754,0
2024-06-09T16:32:13.447668,29,28,24,24,25,24,24,24,0,0.016,65295,65039,4095,4095,2436,1445,0,0,1111,46.207544 7.5754,0
2024-06-09T16:32:13.970644,29,28,24,24,25,24,24,24,0,0.068,65295,62991,4094,4095,2436,1444,0,0,1110,46.207545 7.5755,0
2024-06-09T16:32:14.545311,29,27,24,24,25,24,24,24,0,0.067,65295,64015,4094,4095,2434,1445,0,0,1110,46.207546 7.5755,0
2024-06-09T16:32:15.093070,29,28,24,24,25,24,24,24,0,0.067,65295,63247,4094,4095,2441,1446,0,0,1111,46.207546 7.5755,0
